steps,time,reward,delta,converged
1,0.09381399999999473,2.066423210556835,0.1287955675577402,False
2,0.18691100000000205,5.562979037322058,0.0028316800531068415,False
3,0.1834180000000032,5.591534387243111,8.511855485352697e-06,False
4,0.1887710000000027,5.591597611301502,8.511855485352697e-06,False
5,0.190850999999995,5.5916047991318685,8.511855485352697e-06,False
6,0.18467799999999812,5.591605169481164,8.511855485352697e-06,False
7,0.18169400000000024,5.5916051737344725,8.511855485352697e-06,True
