step,reward,mean,median,std,max,min
0,0.014492753623188406,0.014492753623188406,0.014492753623188406,0.0,0.014492753623188406,0.014492753623188406
1,0.016129032258064516,0.015310892940626462,0.015310892940626462,0.0008181393174380549,0.016129032258064516,0.014492753623188406
2,0.011494252873563218,0.014038679584938714,0.014492753623188406,0.0019191894834206867,0.016129032258064516,0.011494252873563218
3,0.006172839506172839,0.012072219565247245,0.012993503248375813,0.003789902535961754,0.016129032258064516,0.006172839506172839
4,0.0,0.009657775652197796,0.011494252873563218,0.005899902255352847,0.016129032258064516,0.0
5,0.007518796992481203,0.009301279208911698,0.00950652493302221,0.00544452208701335,0.016129032258064516,0.0
6,0.010416666666666666,0.009460620274305264,0.010416666666666666,0.005055736299222456,0.016129032258064516,0.0
7,0.012658227848101266,0.009860321221029764,0.010955459770114941,0.004846002142390504,0.016129032258064516,0.0
8,0.007874015748031496,0.009639620612918846,0.010416666666666666,0.004611301632567834,0.016129032258064516,0.0
9,0.014705882352941176,0.010146246786921078,0.010955459770114941,0.004631168663904152,0.016129032258064516,0.0
10,0.021739130434782608,0.011200145300363036,0.011494252873563218,0.00553217416051646,0.021739130434782608,0.0
11,0.0,0.010266799858666116,0.010955459770114941,0.006134900913027265,0.021739130434782608,0.0
12,0.006944444444444444,0.01001123405757214,0.010416666666666666,0.005960337339623339,0.021739130434782608,0.0
13,0.01639344262295082,0.010467106097956331,0.010955459770114941,0.005974088043725305,0.021739130434782608,0.0
14,0.0,0.009769299024759242,0.010416666666666666,0.006334626959568387,0.021739130434782608,0.0
15,0.012195121951219513,0.009920912957663012,0.010955459770114941,0.006161520252084155,0.021739130434782608,0.0
16,0.014084507042253521,0.010165830256756572,0.011494252873563218,0.0060573003526275355,0.021739130434782608,0.0
17,0.0,0.009601061909158985,0.010955459770114941,0.006330472398583651,0.021739130434782608,0.0
18,0.0,0.009095742861308511,0.010416666666666666,0.006523950387559203,0.021739130434782608,0.0
19,0.011235955056179775,0.009202753471052075,0.01082631086142322,0.0063758455413947465,0.021739130434782608,0.0
20,0.0,0.00876452711528769,0.010416666666666666,0.006523532163624861,0.021739130434782608,0.0
21,0.0,0.00836613951913825,0.00914534120734908,0.006629860708644353,0.021739130434782608,0.0
22,0.022727272727272728,0.008990536615144097,0.010416666666666666,0.0071148536099818385,0.022727272727272728,0.0
23,0.018518518518518517,0.009387535861118028,0.01082631086142322,0.007220590064252553,0.022727272727272728,0.0
24,0.02857142857142857,0.010154891569530452,0.011235955056179775,0.008011459220300537,0.02857142857142857,0.0
25,0.011904761904761904,0.010222194274731661,0.011365103964871497,0.007863086216733206,0.02857142857142857,0.0
26,0.006329113924050633,0.010078006113595326,0.011235955056179775,0.007751047682269967,0.02857142857142857,0.0
27,0.0,0.009718077323824065,0.01082631086142322,0.007837785828344867,0.02857142857142857,0.0
28,0.034482758620689655,0.01057203185130219,0.011235955056179775,0.008929235893031028,0.034482758620689655,0.0
29,0.0072992700729927005,0.010462939792025205,0.01082631086142322,0.008798788349737064,0.034482758620689655,0.0
30,0.007246376811594203,0.01035917969588227,0.010416666666666666,0.008674346343742265,0.034482758620689655,0.0
31,0.011363636363636364,0.010390568966749586,0.01082631086142322,0.008539522497009889,0.034482758620689655,0.0
32,0.022222222222222223,0.01074910391388512,0.011235955056179775,0.008650269186291916,0.034482758620689655,0.0
33,0.0,0.010432953798770852,0.01082631086142322,0.008713480234935891,0.034482758620689655,0.0
34,0.012987012987012988,0.010505926918434912,0.011235955056179775,0.00859863432018181,0.034482758620689655,0.0
35,0.02127659574468085,0.01080511216360841,0.01129979570990807,0.008661156594240653,0.034482758620689655,0.0
36,0.037037037037037035,0.011514083106133508,0.011363636363636364,0.00954375275764054,0.037037037037037035,0.0
37,0.0,0.011211080919129994,0.01129979570990807,0.009596002916887066,0.037037037037037035,0.0
38,0.011627906976744186,0.011221768766761129,0.011363636363636364,0.0094724074651716,0.037037037037037035,0.0
39,0.0,0.0109412245475921,0.01129979570990807,0.009515925488571246,0.037037037037037035,0.0
40,0.022727272727272728,0.011228689137340408,0.011363636363636364,0.009573383295150615,0.037037037037037035,0.0
41,0.011494252873563218,0.011235012083440951,0.011428944618599791,0.00945881451006393,0.037037037037037035,0.0
42,0.02857142857142857,0.011638184559905777,0.011494252873563218,0.009706467505812465,0.037037037037037035,0.0
43,0.043478260869565216,0.012361822657852583,0.011494252873563218,0.010704732130236993,0.043478260869565216,0.0
44,0.014285714285714285,0.012404575805138398,0.011494252873563218,0.01058892069381879,0.043478260869565216,0.0
45,0.007407407407407408,0.01229594170953555,0.011494252873563218,0.010498514071695523,0.043478260869565216,0.0
46,0.017543859649122806,0.012407599538037405,0.011494252873563218,0.010413799525715705,0.043478260869565216,0.0
47,0.016666666666666666,0.012496330103217185,0.011561079925153702,0.010322690530429748,0.043478260869565216,0.0
48,0.015625,0.012560180509273976,0.011627906976744186,0.010226386357047604,0.043478260869565216,0.0
49,0.005681818181818182,0.012422613262724862,0.011561079925153702,0.01016930238433145,0.043478260869565216,0.0
50,0.0,0.01217903261051457,0.011494252873563218,0.010215358449876864,0.043478260869565216,0.0
51,0.02702702702702703,0.012464570964678272,0.011561079925153702,0.010320120589949765,0.043478260869565216,0.0
52,0.006711409395973154,0.012356020746400817,0.011494252873563218,0.01025222349434044,0.043478260869565216,0.0
53,0.02631578947368421,0.01261453498209125,0.011561079925153702,0.010329743939859368,0.043478260869565216,0.0
54,0.011764705882352941,0.012599083543914188,0.011627906976744186,0.010236036174420322,0.043478260869565216,0.0
55,0.011627906976744186,0.012581741105214725,0.011627906976744186,0.010145046603054982,0.043478260869565216,0.0
56,0.038461538461538464,0.013035772637781808,0.011627906976744186,0.010614161360897765,0.043478260869565216,0.0
57,0.015384615384615385,0.013076269926520319,0.011696306429548563,0.01052670328588976,0.043478260869565216,0.0
58,0.015625,0.013119468741325059,0.011764705882352941,0.010442296554731466,0.043478260869565216,0.0
59,0.013333333333333334,0.013123033151191864,0.011834733893557423,0.010354947978819187,0.043478260869565216,0.0
60,0.0,0.012907901460188718,0.011764705882352941,0.010404040574965683,0.043478260869565216,0.0
61,0.02702702702702703,0.013135629291911918,0.011834733893557423,0.01047194567553066,0.043478260869565216,0.0
62,0.023809523809523808,0.013305056189016869,0.011904761904761904,0.01047381136619604,0.043478260869565216,0.0
63,0.009345794392523364,0.013243192723446658,0.011834733893557423,0.010403257051580616,0.043478260869565216,0.0
64,0.016129032258064516,0.01328759025474847,0.011904761904761904,0.01032903034518897,0.043478260869565216,0.0
65,0.011904761904761904,0.013266638310051704,0.011904761904761904,0.0102518731865403,0.043478260869565216,0.0
66,0.017857142857142856,0.013335153303291871,0.011904761904761904,0.010190292327021679,0.043478260869565216,0.0
67,0.02702702702702703,0.013536504387464447,0.012049941927990708,0.010248477935074779,0.043478260869565216,0.0
68,0.01020408163265306,0.01348820840551066,0.011904761904761904,0.010181734496619637,0.043478260869565216,0.0
69,0.0,0.013295519714003364,0.011904761904761904,0.010234678610752898,0.043478260869565216,0.0
70,0.0,0.013108258872961064,0.011904761904761904,0.010282411040245482,0.043478260869565216,0.0
71,0.023255813953488372,0.013249197137968386,0.011904761904761904,0.010279584032970628,0.043478260869565216,0.0
72,0.006944444444444444,0.013162830662714634,0.011904761904761904,0.0102352027741249,0.043478260869565216,0.0
73,0.013888888888888888,0.013172642260365635,0.011904761904761904,0.01016615640791939,0.043478260869565216,0.0
74,0.012048192771084338,0.013157649600508553,0.011904761904761904,0.010098978166346653,0.043478260869565216,0.0
75,0.0,0.012984522632080808,0.011904761904761904,0.010143735297261305,0.043478260869565216,0.0
76,0.011494252873563218,0.012965168479372787,0.011904761904761904,0.010079063977099277,0.043478260869565216,0.0
77,0.023809523809523808,0.013104198675913184,0.011904761904761904,0.010088284783483033,0.043478260869565216,0.0
78,0.0078125,0.013037215148369979,0.011904761904761904,0.010041672554908222,0.043478260869565216,0.0
79,0.02,0.013124249959015354,0.011904761904761904,0.010008655127269053,0.043478260869565216,0.0
80,0.012987012987012988,0.013122555675410387,0.011904761904761904,0.009946692978565177,0.043478260869565216,0.0
81,0.03125,0.013343622069612699,0.011976477337923121,0.010084079257692646,0.043478260869565216,0.0
82,0.009900990099009901,0.013302144575990979,0.011904761904761904,0.010030182517123025,0.043478260869565216,0.0
83,0.016666666666666666,0.013342198410403783,0.011976477337923121,0.009976975778196458,0.043478260869565216,0.0
84,0.01818181818181818,0.013399135113596892,0.012048192771084338,0.009931832485705483,0.043478260869565216,0.0
85,0.02564102564102564,0.013541482677869318,0.012121657361151925,0.009960755251168546,0.043478260869565216,0.0
86,0.014492753623188406,0.013552416826666091,0.012195121951219513,0.009903863172885677,0.043478260869565216,0.0
87,0.0,0.013398412089999433,0.012121657361151925,0.00995164837046715,0.043478260869565216,0.0
88,0.0,0.013247868133932023,0.012048192771084338,0.009995845913606112,0.043478260869565216,0.0
89,0.00819672131147541,0.013191744280349171,0.011976477337923121,0.00995424971023756,0.043478260869565216,0.0
90,0.0,0.013046780057488192,0.011904761904761904,0.009994475200554364,0.043478260869565216,0.0
91,0.013157894736842105,0.013047987825742038,0.011976477337923121,0.009940015667312438,0.043478260869565216,0.0
92,0.022727272727272728,0.01315206615801656,0.012048192771084338,0.009936703444661736,0.043478260869565216,0.0
93,0.0,0.013012150560590853,0.011976477337923121,0.009975383356530523,0.043478260869565216,0.0
94,0.0,0.012875180554689896,0.011904761904761904,0.01001121027448128,0.043478260869565216,0.0
95,0.014285714285714285,0.012889873614388071,0.011976477337923121,0.009959961690720021,0.043478260869565216,0.0
96,0.0,0.01275698831939438,0.011904761904761904,0.009993666193977959,0.043478260869565216,0.0
97,0.0,0.012626814969196478,0.011904761904761904,0.01002486522824011,0.043478260869565216,0.0
98,0.023809523809523808,0.012739771624149278,0.011904761904761904,0.010036592772879271,0.043478260869565216,0.0
99,0.0,0.012612373907907785,0.011904761904761904,0.01006641198123629,0.043478260869565216,0.0
