step,reward,mean,median,std,max,min
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0
2,0.02702702702702703,0.009009009009009009,0.0,0.012740662724081938,0.02702702702702703,0.0
3,0.0,0.006756756756756757,0.0,0.011703045997087009,0.02702702702702703,0.0
4,0.01639344262295082,0.00868409392999557,0.0,0.011154709445133035,0.02702702702702703,0.0
5,0.0,0.007236744941662976,0.0,0.010684742134211148,0.02702702702702703,0.0
6,0.011904761904761904,0.007903604507819965,0.0,0.010026107045740107,0.02702702702702703,0.0
7,0.007633587786259542,0.007869852417624912,0.003816793893129771,0.009378989503470363,0.02702702702702703,0.0
8,0.0,0.006995424371222144,0.0,0.009181966082428659,0.02702702702702703,0.0
9,0.013888888888888888,0.007684770822988818,0.003816793893129771,0.00895290108289224,0.02702702702702703,0.0
10,0.017241379310344827,0.008553553412748455,0.007633587786259542,0.008967469130697665,0.02702702702702703,0.0
11,0.0,0.007840757295019417,0.003816793893129771,0.008905227233810098,0.02702702702702703,0.0
12,0.0,0.007237622118479462,0.0,0.008807275416702936,0.02702702702702703,0.0
13,0.014925373134328358,0.007786747191040098,0.003816793893129771,0.008714787442292956,0.02702702702702703,0.0
14,0.0,0.007267630711637425,0.0,0.008640433960283158,0.02702702702702703,0.0
15,0.0,0.006813403792160085,0.0,0.008549026947483947,0.02702702702702703,0.0
16,0.0,0.006412615333797727,0.0,0.008447295166166812,0.02702702702702703,0.0
17,0.01694915254237288,0.006997978512051903,0.0,0.008556727181494077,0.02702702702702703,0.0
18,0.010309278350515464,0.0071722574509184055,0.0,0.008361264251709674,0.02702702702702703,0.0
19,0.008849557522123894,0.007256122454478681,0.003816793893129771,0.008157747013127666,0.02702702702702703,0.0
20,0.0,0.006910592813789219,0.0,0.008109726183780402,0.02702702702702703,0.0
21,0.0,0.006596474958616982,0.0,0.008052967794938937,0.02702702702702703,0.0
22,0.0,0.006309671699546679,0.0,0.007990015448921983,0.02702702702702703,0.0
23,0.03225806451612903,0.007390854733570943,0.0,0.00938436666703471,0.03225806451612903,0.0
24,0.03571428571428571,0.008523791972799535,0.0,0.01074005619838368,0.03571428571428571,0.0
25,0.02702702702702703,0.009235454859500593,0.003816793893129771,0.011116380533683313,0.03571428571428571,0.0
26,0.0,0.008893400975815384,0.0,0.011047132062332451,0.03571428571428571,0.0
27,0.013513513513513514,0.00905840499501889,0.003816793893129771,0.010881897691634604,0.03571428571428571,0.0
28,0.015625,0.009284839305535478,0.007633587786259542,0.010759555166328493,0.03571428571428571,0.0
29,0.012195121951219513,0.00938184872705828,0.008241572654191717,0.010591600782668254,0.03571428571428571,0.0
30,0.016129032258064516,0.009599499808703641,0.008849557522123894,0.010487344397692317,0.03571428571428571,0.0
31,0.023255813953488372,0.010026259625728165,0.009579417936319678,0.010592130212281208,0.03571428571428571,0.0
32,0.004739336492890996,0.009866049833824008,0.008849557522123894,0.010469707612546482,0.03571428571428571,0.0
33,0.01639344262295082,0.010058031974680678,0.009579417936319678,0.010373384170452098,0.03571428571428571,0.0
34,0.012658227848101266,0.01013232328534984,0.010309278350515464,0.010233291912248891,0.03571428571428571,0.0
35,0.0,0.009850869860756789,0.009579417936319678,0.010226628389373917,0.03571428571428571,0.0
36,0.0,0.00958463013479039,0.008849557522123894,0.010213184853926936,0.03571428571428571,0.0
37,0.0,0.009332403025980115,0.008241572654191717,0.010194020423642935,0.03571428571428571,0.0
38,0.0,0.009093110640698574,0.007633587786259542,0.010170024537158082,0.03571428571428571,0.0
39,0.02631578947368421,0.009523677611523215,0.008241572654191717,0.010395854599188886,0.03571428571428571,0.0
40,0.010101010101010102,0.009537758891754603,0.008849557522123894,0.010268679466152564,0.03571428571428571,0.0
41,0.017857142857142856,0.009735839462359085,0.009475283811566999,0.010224668044864799,0.03571428571428571,0.0
42,0.047619047619047616,0.010616844303212306,0.010101010101010102,0.011606537160435413,0.047619047619047616,0.0
43,0.0,0.01037555238723021,0.009475283811566999,0.011582470035170584,0.047619047619047616,0.0
44,0.0,0.010144984556402871,0.008849557522123894,0.011554718855005688,0.047619047619047616,0.0
45,0.0,0.009924441413872373,0.008241572654191717,0.011523795850227114,0.047619047619047616,0.0
46,0.0,0.009713283085917642,0.007633587786259542,0.011490144681437553,0.047619047619047616,0.0
47,0.0,0.009510923021627692,0.006186462139575268,0.011454150679024909,0.047619047619047616,0.0
48,0.0,0.009316822551798555,0.004739336492890996,0.011416149352089127,0.047619047619047616,0.0
49,0.023809523809523808,0.00960667657695306,0.006186462139575268,0.011482101251410217,0.047619047619047616,0.0
50,0.017857142857142856,0.009768450425584232,0.007633587786259542,0.011426378100726789,0.047619047619047616,0.0
51,0.0,0.009580595609707612,0.006186462139575268,0.011395221261226636,0.047619047619047616,0.0
52,0.0,0.009399829654807469,0.004739336492890996,0.011362227626328844,0.047619047619047616,0.0
53,0.021739130434782608,0.009628335224807008,0.006186462139575268,0.011378789744197738,0.047619047619047616,0.0
