steps,time,reward,delta,converged
1,0.005207000000154949,0.0,0,False
2,0.02764100000013059,0.0,0,False
3,0.0019030000003112946,0.0,0,False
4,0.006542000000081316,0.0,0,False
5,0.010701000000153726,0.0,0,False
6,0.009418000000096072,0.0,0,False
7,0.025756000000001222,0.0,0,False
8,0.00419000000010783,0.0,0,False
9,0.0033330000001114968,0.0,0,False
10,0.007657999999992171,0.0,0,False
11,0.006023000000368484,0.0,0,False
12,0.004539999999906286,0.0,0,False
13,0.008728000000246539,0.0,0,False
14,0.013650999999754276,0.0,0,False
15,0.010835000000042783,0.0,0,False
16,0.007071999999880063,0.0,0,False
17,0.004350999999587657,0.0,0,False
18,0.013840000000072905,0.0,0,False
19,0.005963000000065222,0.0,0,False
20,0.00569599999971615,0.0,0,False
21,0.018117999999958556,0.0,0,False
22,0.0017210000000886794,0.0,0,False
23,0.014904999999998836,0.0,0,False
24,0.0029829999998582934,0.0,0,False
25,0.004307000000153494,0.0,0,False
26,0.041644999999789434,0.0,0,False
27,0.015834000000268134,0.0,0,False
28,0.009307999999691674,0.0,0,False
29,0.008413000000018656,0.0,0,False
30,0.006324999999833381,0.0,0,False
31,0.0033630000002631277,0.0,0,False
32,0.0077679999999418214,0.0,0,False
33,0.011365999999725318,0.0,0,False
34,0.03025100000013481,0.0,0,False
35,0.004511999999976979,0.0,0,False
36,0.012330000000019936,0.0,0,False
37,0.015570000000025175,0.0,0,False
38,0.03825400000005175,0.0,0,False
39,0.004772000000230037,0.0,0,False
40,0.006538000000091415,0.0,0,False
41,0.02086700000018027,0.0,0,False
42,0.04278999999996813,0.0,0,False
43,0.014939999999569409,0.0,0,False
44,0.027682000000368134,0.0,0,False
45,0.003519999999753054,0.0,0,False
46,0.0030329999999594293,0.0,0,False
47,0.018409000000247033,0.0,0,False
48,0.034694999999828724,0.0,0,False
49,0.012941999999839027,0.0,0,False
50,0.03155000000015207,0.0,0,False
51,0.008391999999730615,0.0,0,False
52,0.008502000000135013,0.0,0,False
53,0.014005999999881169,0.0,0,False
54,0.02409299999999348,0.0,0,False
55,0.03139000000010128,0.0,0,False
56,0.007792999999765016,0.0,0,False
57,0.023654000000078668,0.0,0,False
58,0.029943999999886728,0.0,0,False
59,0.02454699999998411,0.0,0,False
60,0.01878400000032343,0.0,0,False
61,0.016379000000142696,0.0,0,False
62,0.010333000000173342,0.0,0,False
63,0.011786000000029162,0.0,0,False
64,0.007766000000174245,0.0,0,False
65,0.012751000000207569,0.0,0,False
66,0.008553000000119937,0.0,0,False
67,0.005632000000332482,0.0,0,False
68,0.008538000000044121,0.0,0,False
69,0.008880000000317523,0.0,0,False
70,0.027864000000136002,0.0,0,False
71,0.016864000000168744,0.0,0,False
72,0.030481000000236236,0.0,0,False
73,0.019195999999737978,0.0,0,False
74,0.002181999999720574,0.0,0,False
75,0.05139599999984057,0.0,0,False
76,0.004166999999597465,0.0,0,False
77,0.04279599999972561,0.0,0,False
78,0.008574999999837019,0.0,0,False
79,0.011313999999856605,0.0,0,False
80,0.026286000000254717,0.0,0,False
81,0.0037699999998039857,0.0,0,False
82,0.017259000000194646,0.0,0,False
83,0.013723000000027241,0.0,0,False
84,0.014760999999907654,0.0,0,False
85,0.016251000000011118,0.0,0,False
86,0.005385999999816704,0.0,0,False
87,0.0062050000001363514,0.0,0,False
88,0.010502999999971507,0.0,0,False
89,0.005401999999776308,0.0,0,False
90,0.011721999999736,0.0,0,False
91,0.010056000000076892,0.0,0,False
92,0.009129000000029919,0.0,0,False
93,0.01493899999968562,0.0,0,False
94,0.005143000000316533,0.0,0,False
95,0.02562800000032439,0.0,0,False
96,0.005037999999785825,0.0,0,False
97,0.003547999999682361,0.0,0,False
98,0.01125400000000809,0.0,0,False
99,0.03884999999991123,0.0,0,False
100,0.010366999999860127,0.0,0,False
101,0.007983999999851221,0.0,0,False
102,0.00809800000024552,0.0,0,False
103,0.032880000000204745,0.0,0,False
104,0.019157000000177504,0.0,0,False
105,0.010397999999895546,0.0,0,False
106,0.028342999999949825,0.0,0,False
107,0.031864000000041415,0.0,0,False
108,0.011825999999928172,0.0,0,False
109,0.01679599999988568,0.0,0,False
110,0.002457999999933236,0.0,0,False
111,0.028245999999853666,0.0,0,False
112,0.04902700000002369,0.0,0,False
113,0.0046300000003611785,0.0,0,False
114,0.007604000000355882,0.0,0,False
115,0.006006999999954132,0.0,0,False
116,0.02040900000019974,0.0,0,False
117,0.009474999999838474,0.0,0,False
118,0.01641799999970317,0.0,0,False
119,0.006579000000328961,0.0,0,False
120,0.018444999999701395,0.0,0,False
121,0.006767999999738095,0.0,0,False
122,0.009960000000319269,0.0,0,False
123,0.011209000000235392,0.0,0,False
124,0.01733399999966423,0.0,0,False
125,0.01263699999981327,0.0,0,False
126,0.015061000000059721,0.0,0,False
127,0.004347000000052503,0.0,0,False
128,0.012021000000004278,0.0,0,False
129,0.008715999999822088,0.0,0,False
130,0.03171299999985422,0.0,0,False
131,0.007346999999754189,0.0,0,False
132,0.07284300000037547,0.0,0,False
133,0.004754999999931897,0.0,0,False
134,0.013331000000107451,0.0,0,False
135,0.01869299999998475,0.0,0,False
136,0.020044000000325468,0.0,0,False
137,0.01013199999988501,0.0,0,False
138,0.006134999999630963,0.0,0,False
139,0.02187599999979284,0.0,0,False
140,0.014032999999926687,0.0,0,False
141,0.015278000000307657,0.0,0,False
142,0.011578999999983353,0.0,0,False
143,0.01233700000011595,0.0,0,False
144,0.007456000000274798,0.0,0,False
145,0.005658000000039465,0.0,0,False
146,0.013725000000249565,0.0,0,False
147,0.028686000000107015,0.0,0,False
148,0.024100999999973283,0.0,0,False
149,0.02699399999983143,0.0,0,False
150,0.009257000000161497,0.0,0,False
151,0.02221899999995003,0.0,0,False
152,0.004877000000305998,0.0,0,False
153,0.015034999999897991,0.0,0,False
154,0.00754400000005262,0.0,0,False
155,0.0036979999999857682,0.0,0,False
156,0.006130000000212021,0.0,0,False
157,0.026508999999805383,0.0,0,False
158,0.010732000000189146,0.0,0,False
159,0.006523999999899388,0.0,0,False
160,0.021557000000029802,0.0,0,False
161,0.006597000000056141,0.0,0,False
162,0.01881600000024264,0.0,0,False
163,0.006593999999950029,0.0,0,False
164,0.027532000000064727,0.0,0,False
165,0.007920999999896594,0.0,0,False
166,0.0017370000000482833,0.0,0,False
167,0.0024730000000090513,0.0,0,False
168,0.007747000000108528,0.0,0,False
169,0.007681999999931577,0.0,0,False
170,0.025245999999697233,0.0,0,False
171,0.021937999999863678,0.0,0,False
172,0.011838999999781663,0.0,0,False
173,0.007993000000169559,0.0,0,False
174,0.008583000000271568,0.0,0,False
175,0.003163999999742373,0.0,0,False
176,0.005283999999846856,0.0,0,False
177,0.025503000000298925,0.0,0,False
178,0.009760999999798514,0.0,0,False
179,0.014025999999830674,0.0,0,False
180,0.041547999999693275,0.0,0,False
181,0.007344000000102824,0.0,0,False
182,0.005583999999998923,0.0,0,False
183,0.007584999999835418,0.0,0,False
184,0.024359000000004016,0.0,0,False
185,0.010112000000390253,0.0,0,False
186,0.0036700000000564614,0.0,0,False
187,0.008524000000306842,0.0,0,False
188,0.020993999999973312,0.0,0,False
189,0.008984000000054948,0.0,0,False
190,0.010195999999723426,0.0,0,False
191,0.014302000000043336,0.0,0,False
192,0.03536099999973885,0.0,0,False
193,0.03820999999970809,0.0,0,False
194,0.016075000000000728,0.0,0,False
195,0.007892999999967287,0.0,0,False
196,0.012568000000101165,0.0,0,False
197,0.007770999999593187,0.0,0,False
198,0.005433000000266475,0.0,0,False
199,0.005282999999963067,0.0,0,False
200,0.002448000000185857,0.0,0,True
