episode,length,time,reward,delta
0,40.0,0.0031589999999823704,0.0,7.27081395476717e-05
1,26.0,0.00187299999993229,0.0,6.669609371340258e-05
2,5.0,0.0004240000000663713,0.0,9.879024721766254e-05
3,18.0,0.0013109999999869615,0.0,4.9395123608831325e-05
4,8.0,0.0006459999999606225,0.0,2.4697561804415662e-05
5,10.0,0.0009539999999788051,0.0,-0.00023534489144472518
6,24.0,0.002149000000031265,0.0,0.00014643436773668743
7,30.0,0.002212999999983367,0.0,0.00010609267771752751
8,64.0,0.004675000000020191,0.0,0.00017437193685279336
9,21.0,0.0015250000000150976,0.0,0.00011671670919193087
10,109.0,0.00835800000004383,0.0,0.0006751040354647748
11,37.0,0.0026669999999739957,0.0,-0.0001855125032021286
12,13.0,0.0011799999999766442,0.0,0.00028998479383673254
13,8.0,0.0006599999999252759,0.0,0.00045246385471907975
14,12.0,0.0009049999999888314,0.0,0.00014499239691836627
15,20.0,0.001439000000004853,0.0,3.56891814904173e-05
16,49.0,0.003413000000023203,0.0,0.00033755201773238736
17,34.0,0.0023940000000948203,0.0,0.00015102049257906388
18,32.0,0.0022440000000187865,0.0,0.000279456607812269
19,12.0,0.0008940000000166037,0.0,-0.0001931826920118946
20,9.0,0.0006889999999657448,0.0,0.0001397283039061345
21,17.0,0.0012269999999716674,0.0,-9.275625160106436e-05
22,16.0,0.0011600000000271393,0.0,0.0002454961830174547
23,20.0,0.0014319999999088395,0.0,0.00012464876941094944
24,10.0,0.0007550000000264845,0.0,0.0002516072493010755
25,29.0,0.0020469999999477295,0.0,0.00011018276003420605
26,12.0,0.0008930000000191285,0.0,0.0006400156213740541
27,17.0,0.0012429999999312713,0.0,0.00019234711706990807
28,19.0,0.0013959999999997308,0.0,0.00012580362465053774
29,55.0,0.003868000000011307,0.0,0.0002479908476049333
30,43.0,0.0030309999999644788,0.0,0.0002977368981274817
31,47.0,0.00327900000002046,0.0,0.00028598212814327914
32,40.0,0.003283000000010361,0.0,0.000330231012249638
33,14.0,0.0010160000000496439,0.0,0.00014299106407163957
34,7.0,0.0005489999999781503,0.0,7.149553203581978e-05
35,5.0,0.0004290000000537475,0.0,0.0002942929608849578
36,53.0,0.004096000000004096,0.0,-5.3023318389032936e-05
37,49.0,0.003625999999940177,0.0,0.00026715872284948435
38,33.0,0.0023489999999810607,0.0,0.00013357936142474212
39,25.0,0.0017810000000508808,0.0,9.351505836954494e-05
40,12.0,0.0008960000000115542,0.0,0.00020379929895352703
41,30.0,0.002452000000062071,0.0,0.0003488843984518885
42,15.0,0.0011160000000245418,0.0,0.00018108186845708222
43,17.0,0.0012779999999565916,0.0,0.0002760794059868633
44,4.0,0.0003699999999753345,0.0,0.00010189964947676352
45,8.0,0.0006379999999808206,0.0,0.00011134775915195183
46,38.0,0.0026800000000548607,0.0,0.0002373550304597341
47,44.0,0.003086999999936779,0.0,0.0002581394626051858
48,33.0,0.0023160000000643777,0.0,5.509138001710302e-05
49,25.0,0.0017699999999649663,0.0,0.00011454266385961922
50,13.0,0.0009609999999611318,0.0,-2.6511659194516468e-05
51,16.0,0.0011729999999943175,0.0,9.93796220165262e-05
52,37.0,0.0025910000000521904,0.0,0.0003334331302498551
53,32.0,0.0022309999999379215,1.0,0.9999248794194608
54,27.0,0.0017910000000256332,0.0,0.00029712301628970466
55,7.0,0.0005119999999578795,0.0,0.0003152272183418028
56,54.0,0.0037660000000414584,0.0,0.00015761360917090146
57,63.0,0.005165000000033615,0.0,0.00039892676319256814
58,17.0,0.001356000000100721,0.0,0.00022134080733652672
59,14.0,0.0012070000000221626,0.0,0.0002561246521416956
