steps,time,reward,delta,converged
1,0.0031730000000607106,0.0,0.0007902393210953666,False
2,0.0018869999998969433,0.0,0.0007902393210953666,False
3,0.00043700000003354944,0.0,0.0007902393210953666,False
4,0.0013249999999516149,0.0,0.0007902393210953666,False
5,0.0006599999999252759,0.0,0.0007902393210953666,False
6,0.0009690000000546206,0.0,0.0007902393210953666,False
7,0.002162999999995918,0.0,0.0007902393210953666,False
8,0.0022269999999480206,0.0,0.0007902393210953666,False
9,0.004689999999982319,0.0,0.0007947691198056728,False
10,0.001538999999979751,0.0,0.0007947691198056728,False
11,0.008373000000005959,0.0,0.0007947691198056728,False
12,0.002682000000049811,0.0,0.0007947691198056728,False
13,0.0011950000000524597,0.0,0.0007947691198056728,False
14,0.0006739999998899293,0.0,0.0007947691198056728,False
15,0.0009190000000671716,0.0,0.0007947691198056728,False
16,0.0014529999999695065,0.0,0.0007947691198056728,False
17,0.0034269999999878564,0.0,0.0007947691198056728,False
18,0.0024080000000594737,0.0,0.0007947691198056728,False
19,0.0022569999999859647,0.0,0.0007947691198056728,False
20,0.0009069999999837819,0.0,0.0007947691198056728,False
21,0.0007029999999303982,0.0,0.0007947691198056728,False
22,0.0012409999999363208,0.0,0.0007947691198056728,False
23,0.0011739999999917927,0.0,0.0007947691198056728,False
24,0.0014449999999897045,0.0,0.0007947691198056728,False
25,0.0007679999999936626,0.0,0.0007947691198056728,False
26,0.0020599999999149077,0.0,0.0007947691198056728,False
27,0.0009069999999837819,0.0,0.0007947691198056728,False
28,0.0012560000000121363,0.0,0.0007947691198056728,False
29,0.0014099999999643842,0.0,0.0007947691198056728,False
30,0.003880999999978485,0.0,0.0007947691198056728,False
31,0.0030460000000402943,0.0,0.0007947691198056728,False
32,0.003291999999987638,0.0,0.0007947691198056728,False
33,0.003302999999959866,0.0,0.0007947691198056728,False
34,0.0010300000000142973,0.0,0.0007947691198056728,False
35,0.0005619999999453285,0.0,0.0007947691198056728,False
36,0.0004430000000184009,0.0,0.0007947691198056728,False
37,0.0041089999999712745,0.0,0.0007947691198056728,False
38,0.0036399999999048305,0.0,0.0007947691198056728,False
39,0.002361999999948239,0.0,0.0007947691198056728,False
40,0.0017950000000155342,0.0,0.0007947691198056728,False
41,0.0009100000000898945,0.0,0.0007947691198056728,False
42,0.0024660000000267246,0.0,0.0007947691198056728,False
43,0.0011309999999866704,0.0,0.0007947691198056728,False
44,0.001295999999911146,0.0,0.0007947691198056728,False
45,0.0003839999999399879,0.0,0.0007947691198056728,False
46,0.0006520000000591608,0.0,0.0007947691198056728,False
47,0.002694000000019514,0.0,0.0007947691198056728,False
48,0.0031020000000125947,0.0,0.0007947691198056728,False
49,0.002330000000029031,0.0,0.0007947691198056728,False
50,0.0017839999999296197,0.0,0.0007947691198056728,False
51,0.00097399999992831,0.0,0.0007947691198056728,False
52,0.0011859999999614956,0.0,0.0007947691198056728,False
53,0.0026040000000193686,0.0,0.0007947691198056728,False
54,0.0022440000000187865,0.030303030303030304,0.9999248794194608,False
55,0.0018039999999928114,0.0,0.9999248794194608,False
56,0.0005239999999275824,0.0,0.9999248794194608,False
57,0.0037790000000086366,0.0,0.9999248794194608,False
58,0.005178999999998268,0.0,0.9999248794194608,False
59,0.0013710000000628497,0.0,0.9999248794194608,False
60,0.0012219999999842912,0.0,0.9999248794194608,False
61,0.0015680000000202199,0.0,0.9999248794194608,False
62,0.0016210000000000946,0.0,0.9999248794194608,False
63,0.0012150000000019645,0.0,0.9999248794194608,False
64,0.0003790000000662985,0.0,0.9999248794194608,False
65,0.0007940000000417058,0.0,0.9999248794194608,False
66,0.0014789999999038628,0.0,0.9999248794194608,False
67,0.001874000000043452,0.0,0.9999248794194608,False
68,0.0010730000000194195,0.0,0.9999248794194608,False
69,0.003921000000104868,0.0,0.9999248794194608,False
70,0.0010930000000826112,0.0,0.9999248794194608,False
71,0.004621999999926629,0.0,0.9999248794194608,False
72,0.0024690000000191503,0.0,0.9999248794194608,False
73,0.000651999999945474,0.0,0.9999248794194608,False
74,0.0031050000000050204,0.0,0.9999248794194608,False
75,0.0021990000000187138,0.0,0.9999248794194608,False
76,0.0017339999999421707,0.0,0.9999248794194608,False
77,0.0033270000000129585,0.0,0.9999248794194608,False
78,0.002131999999960499,0.0,0.9999248794194608,False
79,0.000923999999940861,0.0,0.9999248794194608,False
80,0.000505999999973028,0.0,0.9999248794194608,False
81,0.0021839999999428983,0.0,0.9999248794194608,False
82,0.0012369999999464198,0.0,0.9999248794194608,False
83,0.0013179999999692882,0.0,0.9999248794194608,False
84,0.002485000000092441,0.0,0.9999248794194608,False
85,0.002266999999960717,0.0,0.9999248794194608,False
86,0.0015740000000050713,0.0,0.9999248794194608,False
87,0.0025080000000343716,0.0,0.9999248794194608,False
88,0.000739999999950669,0.0,0.9999248794194608,False
89,0.004656000000068161,0.0,0.9999248794194608,False
90,0.004742999999962194,0.0,0.9999248794194608,False
91,0.0007520000000340588,0.0,0.9999248794194608,False
92,0.0023410000000012587,0.0,0.9999248794194608,False
93,0.0009220000000595974,0.0,0.9999248794194608,False
94,0.0011519999999336505,0.0,0.9999248794194608,False
95,0.0007219999999961146,0.0,0.9999248794194608,False
96,0.001326000000062777,0.0,0.9999248794194608,False
97,0.0018210000000635773,0.0,0.9999248794194608,False
98,0.0010189999999283827,0.0,0.9999248794194608,False
99,0.00045999999997548,0.0,0.9999248794194608,False
100,0.0008109999999987849,0.0,0.9999248794194608,False
101,0.0011620000000220898,0.0,0.9999248794194608,False
102,0.0013079999999945358,0.0,0.9999248794194608,False
103,0.0018850000000156797,0.0,0.9999248794194608,False
104,0.001333999999928892,0.0,0.9999248794194608,False
105,0.0008609999999862339,0.0,0.9999248794194608,False
106,0.0005439999999907741,0.0,0.9999248794194608,False
107,0.0006020000000717118,0.0,0.9999248794194608,False
108,0.003362000000038279,0.0,0.9999248794194608,False
109,0.0010700000000269938,0.0,0.9999248794194608,False
110,0.003336999999987711,0.0,0.9999248794194608,False
111,0.0006940000000668078,0.0,0.9999248794194608,False
112,0.004375999999979285,0.0,0.9999248794194608,False
113,0.0017779999999447682,0.0,0.9999248794194608,False
114,0.0026080000000092696,0.0,0.9999248794194608,False
115,0.0008550000000013824,0.0,0.9999248794194608,False
116,0.004748000000063257,0.0,0.9999248794194608,False
117,0.001517999999919084,0.0,0.9999248794194608,False
118,0.001376000000050226,0.0,0.9999248794194608,False
119,0.0030369999999493302,0.0,0.9999248794194608,False
120,0.002446999999961008,0.0,0.9999248794194608,False
121,0.0008649999999761349,0.0,0.9999248794194608,False
122,0.0018380000000206564,0.0,0.9999248794194608,False
123,0.0009299999999257125,0.0,0.9999248794194608,False
124,0.0010730000000194195,0.0,0.9999248794194608,False
125,0.0009390000000166765,0.0,0.9999248794194608,False
126,0.0011309999999866704,0.0,0.9999248794194608,False
127,0.0010520000000724394,0.0,0.9999248794194608,False
128,0.001450999999974556,0.0,0.9999248794194608,False
129,0.0009220000000595974,0.0,0.9999248794194608,False
130,0.0021799999999529973,0.0,0.9999248794194608,False
131,0.0012930000000324071,0.0,0.9999248794194608,False
132,0.0007440000000542568,0.0,0.9999248794194608,False
133,0.0006209999999100546,0.0,0.9999248794194608,False
134,0.0007709999999860884,0.0,0.9999248794194608,False
135,0.00342200000000048,0.0,0.9999248794194608,False
