step,reward,mean,median,std,max,min
0,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.0,0.021739130434782608,0.021739130434782608
1,0.012345679012345678,0.017042404723564143,0.017042404723564143,0.004696725711218465,0.021739130434782608,0.012345679012345678
2,0.016129032258064516,0.016737947235064266,0.016129032258064516,0.003858956291825684,0.021739130434782608,0.012345679012345678
3,0.017543859649122806,0.016939425338578902,0.01683644595359366,0.003360124703824746,0.021739130434782608,0.012345679012345678
4,0.0,0.013551540270863121,0.016129032258064516,0.00741238229912684,0.021739130434782608,0.0
5,0.020833333333333332,0.01476517244794149,0.01683644595359366,0.00729045207307983,0.021739130434782608,0.0
6,0.013513513513513514,0.014586364028737493,0.016129032258064516,0.0067638428586115126,0.021739130434782608,0.0
7,0.007633587786259542,0.013717266998427749,0.014821272885789015,0.0067318780051070235,0.021739130434782608,0.0
8,0.011363636363636364,0.013455752483450928,0.013513513513513514,0.006389831508787885,0.021739130434782608,0.0
9,0.02564102564102564,0.014674279799208401,0.014821272885789015,0.007078858058532647,0.02564102564102564,0.0
10,0.0,0.013340254362916727,0.013513513513513514,0.007959333796028275,0.02564102564102564,0.0
11,0.01818181818181818,0.013743718014491849,0.014821272885789015,0.007737076775917829,0.02564102564102564,0.0
12,0.02631578947368421,0.014710800434429723,0.016129032258064516,0.008153560033799374,0.02631578947368421,0.0
13,0.034482758620689655,0.016123083162019717,0.01683644595359366,0.009362744451907481,0.034482758620689655,0.0
14,0.016666666666666666,0.016159322062329513,0.016666666666666666,0.009046286735680482,0.034482758620689655,0.0
15,0.012987012987012988,0.01596105274512223,0.01639784946236559,0.008792625208367918,0.034482758620689655,0.0
16,0.02040816326530612,0.01622264748160364,0.016666666666666666,0.008594038905822114,0.034482758620689655,0.0
17,0.014925373134328358,0.016150576684532788,0.01639784946236559,0.008357189204801128,0.034482758620689655,0.0
18,0.014705882352941176,0.016074540140764808,0.016129032258064516,0.00814068501396457,0.034482758620689655,0.0
19,0.04,0.017270813133726567,0.01639784946236559,0.009494605166717676,0.04,0.0
